match_id_home; tickets_scanned; tickets_sold_total; match_date; weather_temp_max_c; weather_temp_min_c; weather_temp_mean_c; weather_precipitation_mm; weather_rain_mm; weather_snowfall_cm; weather_windspeed_max_kmh; weather_sunshine_hours; weather_code; weather_temp_deviation; weather_score; weather_description; has_promotion; promo_tickets_total; promo_valentijn_tickets; promo_1plus1_tickets; promo_bring_a_friend_tickets; promo_free_subscriber_tickets; promo_bondskaarten_tickets; promo_discount_tickets; promotion_names                                                          ; weekday; weekday_name; is_weekend; is_midweek; academic_year; academic_week; is_public_holiday; public_holiday_name; is_school_holiday_flanders; school_holiday_name; pct_free_tickets; campaign_motto
4mbxzkhlc9edsor1s0fjsxses;7863;7217; 2023-12-26; 10.9              ; 4.2               ; 8.7                ;                      1.3;             1.3;                0.0 ;                      30.3;                    5.0;51; 3.3                   ; -1.06        ; Motregen           ; true         ;449;0;0;0;449;0;0; Gratis ticket abonnee                                                    ;1; Tuesday     ; false     ; true      ; 2023/2024    ;17; true             ; St. Stephen's Day  ; true                      ; Christmas Holiday  ;             26.1; 
4s3or8i47or8p70amtotvjlec;7846;7231; 2024-01-31; 7.9               ; 4.5               ; 6.4                ;                      0.1;             0.1;                0.0 ;                      26.1;                    6.9;51; 2.8                   ; -0.75        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;2; Wednesday   ; false     ; true      ; 2023/2024    ;22; false            ;                    ; false                     ;                    ;             38.2; 
3kewmr690bhoid47mku9wfgno;7786;5988; 2023-08-05; 17.6              ; 11.6              ; 14.6               ;                      8.3;             8.3;                0.0 ;                      24.1;                    3.1;63; -4.9                  ; -3.98        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;49; false            ;                    ; true                      ; Summer Holiday     ;             31.3; 
du1wib350joxeh5hdv9v8yihg;7785;5603; 2023-03-04; 6.7               ; 0.8               ; 4.3                ;                      0.2;             0.2;                0.0 ;                      14.6;                    1.3;51; -3.7                  ; -1.43        ; Motregen           ; true         ;110;0;0;0;110;0;0;" ""Gratis ticket abonnee";" Gratis ticket halfseizoensabonnee""               ";5; Saturday    ; true      ; false     ; 2022/2023    ;27; false            ;                    ; true                      ; Carnival Holiday   ;             23.3
42wgdmxzlcn9w08umkea3hpg4;7784;7617; 2023-10-22; 14.8              ; 9.8               ; 12.5               ;                      1.6;             1.6;                0.0 ;                      31.1;                    7.2;55; -0.6                  ; -1.54        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;8; false            ;                    ; false                     ;                    ;             41.9; 
89eut1cf33jziticurrctu2ok;7689;8464; 2025-03-16; 9.6               ; -0.5              ; 4.1                ;                      0.0;             0.0;                0.0 ;                      16.7;                   11.7;3; -3.9                  ; -0.39        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;29; false            ;                    ; false                     ;                    ;             37.7; 
d4mn5ksbxuvnaww4pmommxhqs;7440;6263; 2022-08-14; 32.2              ; 17.3              ; 25.4               ;                      0.0;             0.0;                0.0 ;                      16.9;                   11.1;3; 5.9                   ; 0.59         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2021/2022    ;50; false            ;                    ; true                      ; Summer Holiday     ;              8.3; 
dcl81t8chgq07o8rw8orj5no4;7238;6069; 2022-10-15; 17.8              ; 10.9              ; 14.1               ;                      2.7;             2.7;                0.0 ;                      24.1;                    3.4;61; 1.0                   ; -1.71        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;7; false            ;                    ; false                     ;                    ;              7.3; 
dfui3aovgvfccasonp6w5ajh0;7166;5842; 2022-10-30; 20.6              ; 12.9              ; 16.1               ;                      0.0;             0.0;                0.0 ;                      11.3;                    6.1;3; 3.0                   ; 0.3          ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2022/2023    ;9; false            ;                    ; false                     ;                    ;             15.1; 
82ku9pdoluteqx9sa2bqzmcyc;7097;8132; 2025-03-02; 8.7               ; -1.6              ; 2.9                ;                      0.0;             0.0;                0.0 ;                       8.7;                   10.0;3; -5.1                  ; -0.51        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;27; false            ;                    ; false                     ;                    ;             34.8; 
dh7ze0l15ri59fuhmnrs8pst0;6977;8111; 2025-09-26; 15.2              ; 7.4               ; 11.3               ;                      0.1;             0.1;                0.0 ;                      10.9;                    5.8;51; -5.0                  ; -1.53        ; Motregen           ; true         ;21;0;0;0;0;21;0; Bondskaarten                                                             ;4; Friday      ; false     ; false     ; 2025/2026    ;4; false            ;                    ; false                     ;                    ;             30.5; 
6lop4d01krcoktw7peu0xrlec;6921;7622; 2024-10-20; 17.8              ; 13.9              ; 15.8               ;                      0.4;             0.4;                0.0 ;                      30.6;                    2.2;51; 2.7                   ; -0.85        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;8; false            ;                    ; false                     ;                    ;             38.0; 
98omfw1wagomo5aac4rpyhtlg;6701;6305; 2024-03-30; 10.9              ; 5.7               ; 9.0                ;                      4.3;             4.3;                0.0 ;                      18.0;                    1.1;61; 1.0                   ; -2.19        ; Regen              ; true         ;117;0;0;0;0;0;117;" ""50% korting ticketkoper KV Mechelen";" Werknemers OH Leuven FT""           ";5; Saturday    ; true      ; false     ; 2023/2024    ;31; false            ;                    ; false                     ;                    ;             35.8
d7riiuoqud1d84e7gu4givjf8;6676;7502; 2025-08-31; 22.5              ; 17.5              ; 19.6               ;                      2.2;             2.2;                0.0 ;                      20.1;                    6.5;53; 0.1                   ; -1.65        ; Motregen           ; true         ;16;0;0;0;0;16;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2024/2025    ;53; false            ;                    ; true                      ; Summer Holiday     ;             28.9; 
7dq0nagdoadvgfk4qfxw3lvkk;6655;7956; 2024-12-27; 4.7               ; -0.1              ; 2.5                ;                      0.0;             0.0;                0.0 ;                       4.3;                    5.4;3; -2.9                  ; -0.29        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2024/2025    ;17; false            ;                    ; true                      ; Christmas Holiday  ;             27.4; 
7qex3cmy0pi6r9v2luba43qqc;6619;7575; 2025-01-31; 6.3               ; -0.3              ; 2.5                ;                      0.1;             0.1;                0.0 ;                      12.7;                    3.2;51; -1.1                  ; -1.14        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;4; Friday      ; false     ; false     ; 2024/2025    ;22; false            ;                    ; false                     ;                    ;             28.1; 
dojq6igk3d5ol4c78rkm0ugb8;6399;6975; 2023-01-28; 2.5               ; -1.2              ; 1.1                ;                      0.0;             0.0;                0.0 ;                      11.5;                    2.3;3; -2.5                  ; -0.25        ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;22; false            ;                    ; false                     ;                    ;             54.3; 
duivyh7ccvqb0o2ykwgvaq5uc;6373;7347; 2025-11-02; 13.6              ; 7.4               ; 10.5               ;                      0.9;             0.9;                0.0 ;                      19.5;                    7.0;53; 2.5                   ; -1.02        ; Motregen           ; true         ;12;0;0;0;0;12;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;9; false            ;                    ; true                      ; Autumn Holiday     ;             34.5; 
d0y4sncaf09mzv9ms24ck6olw;6360;7749; 2025-08-15; 28.4              ; 15.4              ; 22.4               ;                      0.0;             0.0;                0.0 ;                      16.0;                   13.9;3; 2.9                   ; 0.29         ; Bewolkt            ; true         ;613;0;0;603;0;9;1;" ""Bondskaart"; Bring a friend - actie;" Tine""                               ";4; Friday      ; false     ; false     ; 2024/2025    ;50; true             ; Assumption Day     ; true                      ; Summer Holiday     
6y80kic6abtlkzmkr4oiejkt0;6344;7631; 2024-11-24; 17.6              ; 9.9               ; 14.6               ;                      0.4;             0.4;                0.0 ;                      32.4;                    5.4;51; 6.6                   ; -0.46        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;13; false            ;                    ; false                     ;                    ;             34.9; 
dak40etbhbqsr1nxyt50qcg0k;6290;5844; 2022-10-01; 17.8              ; 10.9              ; 14.2               ;                      9.8;             9.8;                0.0 ;                      34.5;                    8.5;61; 1.1                   ; -3.83        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2022/2023    ;5; false            ;                    ; false                     ;                    ;              7.5; 
rf7k8o1xjf0xw5zrgpbtmhg  ;6062;7526; 2026-03-07; 15.8              ; 6.1               ; 10.2               ;                      0.0;             0.0;                0.0 ;                       9.8;                   10.4;3; 2.2                   ; 0.22         ; Bewolkt            ; true         ;6;0;0;0;0;6;0; Bondskaarten                                                             ;5; Saturday    ; true      ; false     ; 2025/2026    ;27; false            ;                    ; false                     ;                    ;             49.1; 
6c8lz4vpdfl8yxo9kgokz9250;6061;7315; 2024-09-22; 22.4              ; 14.1              ; 17.6               ;                      0.0;             0.0;                0.0 ;                      20.3;                    5.5;3; 1.3                   ; 0.13         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;4; false            ;                    ; false                     ;                    ;             32.6; 
eqncupz92qy89z9bxks1e0t90;5971;7355; 2026-02-01; 9.3               ; 3.5               ; 6.1                ;                      0.3;             0.3;                0.0 ;                      16.4;                    6.5;51; -0.1                  ; -1.1         ; Motregen           ; true         ;5;0;0;0;0;5;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;22; false            ;                    ; false                     ;                    ;             55.1; 
9j49kwr0mzxabprw5v0rfr3mc;5907;7388; 2024-05-25; 18.4              ; 11.1              ; 14.0               ;                     15.1;            15.1;                0.0 ;                      20.8;                    5.2;63; -0.1                  ; -4.01        ; Regen              ; true         ;165;0;0;0;0;0;165;" ""50% korting ticketkopers seizoen 2023-2024";" Abonnement 2024-2025 gratis""";5; Saturday    ; true      ; false     ; 2023/2024    ;39; false            ;                    ; false                     ;                    ;             45.5
ecz9iyxyc5ira9n59m8cp3bis;5812;7473; 2025-12-21; 11.9              ; 5.6               ; 8.3                ;                      0.0;             0.0;                0.0 ;                      15.8;                    5.5;3; 2.9                   ; 0.29         ; Bewolkt            ; true         ;6;0;0;0;0;6;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;16; false            ;                    ; false                     ;                    ;             48.8; 
7wei2vfmf9wa2ikr3hmt50ljo;5782;7743; 2025-02-15; 3.8               ; -3.5              ; -0.1               ;                      0.2;             0.0;                0.14;                      11.9;                    6.1;71; -6.3                  ; -4.69        ; Sneeuw             ; true         ;425;425;0;0;0;0;0; Valentijnsactie abonnee                                                  ;5; Saturday    ; true      ; false     ; 2024/2025    ;24; false            ;                    ; false                     ;                    ;             45.7; 
e1650lh8xyaev5kzm5v3m2kgk;5661;7078; 2025-11-23; 5.2               ; 0.1               ; 2.5                ;                      4.1;             1.1;                2.1 ;                      25.7;                    0.0;75; -5.5                  ; -5.78        ; Sneeuw             ; true         ;8;0;0;0;0;8;0; Bondskaarten                                                             ;6; Sunday      ; true      ; false     ; 2025/2026    ;12; false            ;                    ; false                     ;                    ;             39.3; 
77idfj6cmoadi2223efythatw;5641;7178; 2024-12-14; 4.6               ; 1.3               ; 2.8                ;                      0.8;             0.8;                0.0 ;                      16.1;                    0.0;53; -2.6                  ; -1.5         ; Motregen           ; true         ;684;0;0;0;472;0;212;" ""Gratis ticket abonnee";" Korting ticketkoper RSCA""                        ";5; Saturday    ; true      ; false     ; 2024/2025    ;15; false            ;                    ; false                     ;                    ;             30.1
82ukg77wot5ten1zki8rhuln8;5615;5310; 2025-05-03; 20.5              ; 10.1              ; 14.8               ;                      2.9;             2.9;                0.0 ;                      17.9;                    7.9;53; 0.7                   ; -1.8         ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2024/2025    ;35; false            ;                    ; false                     ;                    ;              0.0; 
