;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
;match_id                 ; match_date; weather_temp_max_c; weather_temp_min_c; weather_temp_mean_c; weather_precipitation_mm; weather_rain_mm; weather_snowfall_cm; weather_windspeed_max_kmh; weather_sunshine_hours; weather_code; weather_temp_deviation; weather_score; weather_description; has_promotion; promo_tickets_total; promo_valentijn_tickets; promo_1plus1_tickets; promo_bring_a_friend_tickets; promo_free_subscriber_tickets; promo_bondskaarten_tickets; promo_discount_tickets; promotion_names                                                          ; weekday; weekday_name; is_weekend; is_midweek; academic_year; academic_week; is_public_holiday; public_holiday_name; is_school_holiday_flanders; school_holiday_name; pct_free_tickets; campaign_motto
57i6yyarvjpugxfcvu1v2fl04;57i6yyarvjpugxfcvu1v2fl04; 2024-03-17; 14.8              ; 6.1               ; 10.0               ;                      1.5;             1.5;                0.0 ;                      16.2;                    1.5;53; 2.0                   ; -1.25        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;29; false            ;                    ; false                     ;                    ;             25.3; 
dw8a4f7k9qt9iyxuuno9rvztg;dw8a4f7k9qt9iyxuuno9rvztg; 2023-03-19; 12.6              ; 4.5               ; 9.5                ;                      0.6;             0.6;                0.0 ;                      16.9;                    8.7;51; 1.5                   ; -1.03        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2022/2023    ;29; false            ;                    ; false                     ;                    ;             10.9; 
4oobcluwuns3xnlhy5m9m7sic;4oobcluwuns3xnlhy5m9m7sic; 2024-01-21; 7.0               ; -1.7              ; 2.5                ;                      0.3;             0.3;                0.0 ;                      38.0;                    1.7;51; -1.1                  ; -1.2         ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;21; false            ;                    ; false                     ;                    ;             25.7; 
70wtfxx5kccxl5sxj1bvcd8us;70wtfxx5kccxl5sxj1bvcd8us; 2024-12-01; 8.4               ; 1.0               ; 5.5                ;                      0.0;             0.0;                0.0 ;                      19.8;                    6.3;3; 0.1                   ; 0.01         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2024/2025    ;14; false            ;                    ; false                     ;                    ;             28.1; 
4bjgrdur7wdidfbs58xmjynf8;4bjgrdur7wdidfbs58xmjynf8; 2023-11-26; 5.8               ; 3.7               ; 4.6                ;                      0.5;             0.5;                0.0 ;                      18.9;                    0.0;51; -3.4                  ; -1.49        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;13; false            ;                    ; false                     ;                    ;             18.5; 
6rulhyb9xa5yczi1jntilsr9w;6rulhyb9xa5yczi1jntilsr9w; 2024-11-02; 13.0              ; 9.6               ; 10.8               ;                      0.0;             0.0;                0.0 ;                      13.0;                    0.0;3; 2.8                   ; 0.28         ; Bewolkt            ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2024/2025    ;9; false            ;                    ; true                      ; Autumn Holiday     ;             22.8; 
e0tuth9cc11wefswrzq1cjyms;e0tuth9cc11wefswrzq1cjyms; 2023-04-23; 14.8              ; 8.4               ; 11.0               ;                      5.4;             5.4;                0.0 ;                      35.2;                    5.3;61; 0.8                   ; -2.54        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2022/2023    ;34; false            ;                    ; false                     ;                    ;             34.2; 
539hjt08589esprrqk8xj09as;539hjt08589esprrqk8xj09as; 2024-03-02; 12.2              ; 4.2               ; 8.4                ;                      5.5;             5.5;                0.0 ;                      33.5;                    6.7;61; 0.4                   ; -2.61        ; Regen              ; false        ;0;0;0;0;0;0;0;                                                                          ;5; Saturday    ; true      ; false     ; 2023/2024    ;27; false            ;                    ; false                     ;                    ;             27.6; 
3vk3btgbt7w7qy9hjp3f2934k;3vk3btgbt7w7qy9hjp3f2934k; 2023-09-17; 23.6              ; 16.4              ; 20.3               ;                      1.4;             1.4;                0.0 ;                      12.9;                    6.1;53; 4.0                   ; -1.02        ; Motregen           ; false        ;0;0;0;0;0;0;0;                                                                          ;6; Sunday      ; true      ; false     ; 2023/2024    ;3; false            ;                    ; false                     ;                    ;             26.0; 
